protein,degree,clustering_coefficient,drug_target
ANXA2,56,0.12337662337662338,1
S100A10,25,0.13666666666666666,0
CACNA2D1,51,0.5325490196078432,1
ARHGAP24,4,0.5,0
ECSIT,32,0.7258064516129032,0
TTC5,29,0.6650246305418719,0
TUBB,64,0.26686507936507936,1
BTF3,23,1.0,0
RPL23A,193,0.3898963730569948,1
RPL37A,115,0.6410373760488177,0
UBA52,244,0.19112190514740607,0
RPL4,169,0.4383629191321499,1
RPL23,183,0.4222662583318321,0
RPL15,125,0.6290322580645161,0
RPL10,92,0.7675585284280937,1
RPL18,130,0.6005963029218843,1
RPL7,150,0.5057718120805369,0
RPL13,112,0.6943371943371943,0
RPL27A,120,0.6519607843137255,0
RPLP0,174,0.41160055810245166,0
RPL13A,174,0.4310012623745931,0
RPL14,121,0.6549586776859504,1
RPL28,24,0.9565217391304348,0
RPL35A,114,0.6408942710759199,0
CCT4,72,0.2719092331768388,0
CCT3,64,0.32589285714285715,1
ACTB,321,0.08080218068535826,0
PLK1,164,0.16796348945084544,1
TUBB4B,73,0.3135464231354642,1
CCT7,69,0.2830349531116795,0
HSPA8,162,0.11118779234721264,1
CCT6A,60,0.34124293785310733,0
CCT5,67,0.3066485753052917,0
CCT8,59,0.34658094681472823,0
CCT2,69,0.28431372549019607,0
CAMSAP1,4,0.8333333333333334,0
MTOR,138,0.14788955887019994,1
CRABP2,11,0.34545454545454546,0
PBX1,19,0.1871345029239766,0
PLAAT4,2,1.0,0
SRA1,1,0.0,0
UGT1A5,44,0.26849894291754756,0
UGT1A3,55,0.43367003367003365,0
UGT1A9,53,0.4462989840348331,1
UGT1A7,64,0.3854166666666667,0
NAGLU,11,0.12727272727272726,1
HSD17B14,3,0.6666666666666666,0
MLXIP,4,0.6666666666666666,0
MLX,4,0.6666666666666666,0
AFMID,19,0.3508771929824561,0
JRK,1,0.0,0
ATP12A,42,0.2613240418118467,0
ATP4A,28,0.24867724867724866,1
GSTM4,48,0.6657801418439716,1
GSTM2,51,0.6541176470588236,1
GPX6,76,0.3263157894736842,1
GPX5,75,0.3326126126126126,1
GSTT2B,55,0.5643097643097643,1
TXNDC12,42,0.6248548199767712,0
PRDX6,46,0.5526570048309178,1
GSTA2,57,0.5620300751879699,1
CHAC2,24,0.7681159420289855,0
CHAC1,26,0.5692307692307692,0
CASP3,178,0.12727734399796864,1
AKR7A2,6,0.3333333333333333,0
GABRB2,20,0.5947368421052631,1
EPHX2,35,0.13949579831932774,0
NR3C1,72,0.2640845070422535,1
CRH,56,0.21558441558441557,1
ATP6V0D1,42,0.5993031358885017,1
HPGD,4,0.16666666666666666,1
CENPQ,1,0.0,0
CD4,305,0.12564710957722175,1
IL1R1,62,0.3971443680592279,1
TLR8,45,0.3888888888888889,1
IFNA17,45,0.5575757575757576,0
TLR3,76,0.4031578947368421,0
TLR7,63,0.3978494623655914,1
IFNB1,118,0.2953788208025496,1
MYD88,108,0.2942194530979578,0
TLR9,74,0.3646797482413921,1
IFNA1,113,0.32063843236409606,0
CCR2,100,0.421010101010101,0
CD274,88,0.30381400208986414,1
ITGAM,156,0.20413564929693961,0
CD80,97,0.3627577319587629,1
CD86,105,0.3344322344322344,1
CD8A,240,0.15760111576011157,0
IRF1,44,0.3752642706131078,0
TIRAP,31,0.5978494623655914,0
TLR1,38,0.4992887624466572,0
IFIH1,64,0.3482142857142857,0
IRAK4,55,0.3528619528619529,1
TRAF3,83,0.28004701733764326,0
IRF7,82,0.3206865401987353,0
IRAK2,30,0.6,0
IRF3,74,0.320251758607923,0
DDX58,88,0.2800417972831766,0
MAVS,62,0.35378106821787414,0
HMGB1,59,0.18877849210987727,1
IRAK1,73,0.3359969558599696,1
CAMP,33,0.2178030303030303,0
TRAF6,163,0.1567068090585473,0
TLR5,31,0.6150537634408603,0
UNC93B1,9,0.6666666666666666,0
EIF2AK2,65,0.24471153846153845,1
IFNL1,41,0.5036585365853659,0
DHX58,36,0.5682539682539682,0
CGAS,13,0.6923076923076923,0
ATG5,60,0.3847457627118644,0
NAGS,21,0.32857142857142857,1
SLC25A15,3,0.0,1
MTCH1,6,0.13333333333333333,0
HNRNPA2B1,96,0.33574561403508774,1
KCNK1,6,0.4666666666666667,1
KCNK18,10,0.35555555555555557,0
KRT76,11,0.32727272727272727,0
KCNK9,7,0.6666666666666666,1
KCNK2,11,0.12727272727272726,1
SENP1,1,0.0,0
KPNA3,12,0.5757575757575758,0
PHGDH,32,0.21370967741935484,1
KPNA2,24,0.358695652173913,0
KPNA1,13,0.3333333333333333,0
KPNA4,17,0.5441176470588235,0
KPNB1,32,0.3629032258064516,0
LGALS4,5,0.3,0
XPO1,60,0.1519774011299435,1
MYC,257,0.11566755836575876,1
TNPO1,22,0.36363636363636365,0
ASNS,46,0.18937198067632852,1
FPGS,25,0.39,1
PSAT1,20,0.20526315789473684,1
CETP,41,0.5695121951219512,0
NPC1L1,15,0.5428571428571428,1
PLTP,36,0.6761904761904762,0
LPA,46,0.463768115942029,1
LIPC,47,0.3441258094357077,0
APOA2,59,0.4091174751607247,1
APOE,136,0.13474945533769064,1
LCAT,46,0.4444444444444444,0
APOB,108,0.15957078573901004,1
NPC1,6,0.5333333333333333,0
MYLIP,9,0.5555555555555556,0
SNTB2,18,0.6143790849673203,0
SNTB1,18,0.6928104575163399,0
UTRN,30,0.3448275862068966,1
NIPSNAP3A,1,0.0,0
NIPSNAP3B,1,0.0,0
CDC42,193,0.0949373920552677,0
ZDHHC8,5,0.5,0
GULP1,5,0.2,0
KLKB1,25,0.2966666666666667,1
HRG,34,0.40106951871657753,1
PLG,87,0.13900026730820636,1
PROCR,21,0.2571428571428571,1
FURIN,25,0.14333333333333334,0
C3,90,0.14307116104868914,1
UMPS,67,0.2261420171867933,0
SERPINA10,3,1.0,0
NR1I2,43,0.24916943521594684,1
RHAG,13,0.47435897435897434,0
ASPH,19,0.4502923976608187,1
SERPINF1,16,0.275,1
CPB1,14,0.2967032967032967,1
VTN,97,0.19823883161512026,1
PLGRKT,2,1.0,0
PLAUR,32,0.1814516129032258,1
SERPINB2,11,0.2909090909090909,1
ERVW-1,36,0.18253968253968253,0
ERVFRD-1,11,0.21818181818181817,0
ERV3-1,10,0.26666666666666666,0
MMP13,31,0.221505376344086,1
MYOM2,16,0.275,0
PLK4,59,0.43834015195791937,1
DPP4,51,0.12156862745098039,1
CLEC3B,4,0.16666666666666666,1
MELTF,2,0.0,0
H2BC12,75,0.4590990990990991,0
H2BC18,30,0.5885057471264368,0
H2BC21,139,0.3156083828589302,0
AMOT,22,0.329004329004329,0
APEX1,44,0.2938689217758985,0
NEIL2,15,0.5047619047619047,1
POLD1,111,0.3071253071253071,1
NEIL1,21,0.44285714285714284,1
XRCC5,102,0.2898466317219957,0
SMUG1,14,0.4065934065934066,0
PARP2,45,0.22727272727272727,1
APTX,25,0.42,0
PNKP,23,0.4426877470355731,0
UNG,27,0.30484330484330485,0
PARP1,116,0.20464767616191903,1
LIG3,43,0.39867109634551495,1
OGG1,32,0.37701612903225806,0
NTHL1,19,0.5555555555555556,0
LIG1,63,0.39887352790578595,1
POLB,31,0.3849462365591398,1
FEN1,115,0.2936689549961861,1
XRCC1,61,0.40491803278688526,0
POLE,89,0.34039836567926457,1
POLM,13,0.41025641025641024,0
XPC,42,0.5760743321718932,0
APLF,18,0.5751633986928104,0
XRCC6,113,0.24905183312262957,0
PARG,10,0.35555555555555557,0
TPP2,1,0.0,0
TAF1D,1,0.0,0
PRMT6,1,0.0,0
USP47,1,0.0,0
DRD4,32,0.36693548387096775,1
TH,62,0.13696456901110524,1
DBH,23,0.2964426877470356,1
SLC6A2,16,0.13333333333333333,1
ADRA2A,18,0.43137254901960786,1
AOC2,17,0.47058823529411764,0
AOC3,38,0.3029871977240398,1
GAL,38,0.28733997155049784,0
CHAT,28,0.12433862433862433,1
TAC1,49,0.21598639455782312,0
PNMT,8,0.75,0
PHOX2A,4,0.3333333333333333,0
CYB561,2,0.0,0
GNPNAT1,7,0.6190476190476191,0
GPD1,28,0.5396825396825397,1
LPIN2,34,0.5686274509803921,0
LCLAT1,28,0.6825396825396826,0
MBOAT2,51,0.3788235294117647,0
AGPAT5,28,0.6693121693121693,0
AGPAT3,28,0.6957671957671958,0
AGPAT4,32,0.5866935483870968,0
AGPAT1,31,0.6408602150537634,0
AGPAT2,34,0.5579322638146168,0
PLPP5,42,0.47502903600464574,0
PLPP4,42,0.47502903600464574,0
LPIN3,31,0.5935483870967742,0
PLPP3,67,0.3383084577114428,0
PLPP2,67,0.3337856173677069,0
GPAT3,16,0.8166666666666667,0
MBOAT1,38,0.45803698435277385,0
ADPRM,7,1.0,0
GPAT4,16,0.7583333333333333,0
GPAT2,15,0.8095238095238095,0
GPAM,25,0.43,0
NADK,6,0.4666666666666667,0
TKFC,11,0.36363636363636365,0
SLC1A4,3,0.3333333333333333,1
SLC7A1,11,0.2727272727272727,1
ESRRA,23,0.30039525691699603,1
RAD1,1,0.0,0
OXTR,26,0.23692307692307693,1
AVPR1B,14,0.4945054945054945,1
AVPR1A,16,0.35833333333333334,1
ACKR3,18,0.5490196078431373,0
ASPDH,12,1.0,0
NAT8L,19,0.7076023391812866,0
ASRGL1,17,0.8529411764705882,1
ACY3,2,1.0,0
ACY1,12,0.21212121212121213,1
FOLH1,23,0.10276679841897234,1
RIMKLA,4,1.0,0
SYN3,17,0.6176470588235294,0
SNAP25,79,0.25089256734826354,1
SYN1,39,0.26180836707152494,0
RAB3A,23,0.5019762845849802,0
VAMP2,76,0.2964912280701754,1
SYT1,50,0.1836734693877551,0
SLC18A1,9,0.4444444444444444,1
SLC18A3,15,0.3904761904761905,0
SLC17A8,9,0.8055555555555556,0
SLC17A6,19,0.3567251461988304,0
SLC17A7,34,0.28342245989304815,0
SNCA,92,0.10559006211180125,1
PITX3,3,1.0,0
SLC29A4,8,0.17857142857142858,1
POPDC2,1,0.0,0
PIEZO1,6,0.2,0
KCNK4,5,0.5,0
KCNK10,5,0.7,0
BVES,1,0.0,0
SPTBN4,22,0.45454545454545453,0
NRXN2,38,0.23897581792318634,0
NRXN1,55,0.1569023569023569,1
CYB5A,25,0.19,1
CYB5B,19,0.24561403508771928,0
CYB5R3,17,0.13970588235294118,1
POR,37,0.1996996996996997,1
ARSA,18,0.2679738562091503,0
DHODH,39,0.1282051282051282,1
DPYD,49,0.11564625850340136,1
HBA2,14,0.5274725274725275,0
AHSP,22,0.4458874458874459,1
HBA1,14,0.6263736263736264,0
HBB,24,0.358695652173913,1
MARC2,5,0.4,0
MARC1,2,1.0,0
SCD,40,0.2,0
SUOX,15,0.2,0
AIMP2,18,0.6535947712418301,0
DARS1,19,0.5847953216374269,1
AIMP1,25,0.78,0
EEF1E1,16,0.9166666666666666,0
RPS3,233,0.29073553352079323,0
QRSL1,13,0.5384615384615384,0
EIF5B,64,0.44345238095238093,0
SLX4,33,0.6439393939393939,0
FAAH2,7,0.47619047619047616,0
RPS11,200,0.37824120603015077,0
SYNCRIP,57,0.37406015037593987,0
MRPL13,105,0.493956043956044,0
RPS19,147,0.49296430901127575,1
RPS8,188,0.38121515530777106,1
RPS15,191,0.3867181041609259,0
RPL21,124,0.6425386834513507,0
RPS3A,154,0.47398353280706224,1
COPB2,22,0.42424242424242425,0
DUS2,3,0.3333333333333333,0
KCNC1,19,0.11695906432748537,1
SAA2-SAA4,8,0.4642857142857143,0
GTF2I,17,0.3014705882352941,0
SRGAP2,12,0.5,0
SRGAP3,8,1.0,0
NPEPPS,8,1.0,1
NBPF1,8,1.0,0
HYDIN,8,1.0,0
GPRIN2,8,1.0,0
PRSS8,1,0.0,0
WWP1,4,0.5,0
SMAD3,128,0.1641240157480315,0
CEBPA,65,0.23413461538461539,0
HDAC3,87,0.29724672547447206,1
CEBPB,58,0.33575317604355714,0
SP1,52,0.41402714932126694,0
EGR1,40,0.391025641025641,0
NR0B2,44,0.18921775898520085,0
FABP4,32,0.3407258064516129,1
PLIN1,23,0.4150197628458498,0
SMARCD3,26,0.9138461538461539,0
ARID1A,34,0.6506238859180036,0
SMARCA4,127,0.22122234720659917,0
CEBPD,9,0.4722222222222222,0
NCOA6,18,0.7058823529411765,0
KDM3A,6,0.7333333333333333,0
PRDM16,16,0.24166666666666667,0
AKT1S1,42,0.34494773519163763,0
RPTOR,65,0.2173076923076923,0
NANS,3,1.0,0
RENBP,13,0.21794871794871795,1
NPL,3,1.0,0
GNE,10,0.3111111111111111,0
HEXB,21,0.21428571428571427,1
NAGK,12,0.4090909090909091,1
CHIA,8,0.5357142857142857,0
CHIT1,11,0.2727272727272727,0
HEXA,19,0.2573099415204678,0
HCFC1,20,0.4263157894736842,0
L1CAM,36,0.1,1
NAA10,3,1.0,0
SDR42E1,8,0.8928571428571429,0
MAT2B,15,0.34285714285714286,0
NDUFAF6,11,0.4727272727272727,0
WDR97,3,0.3333333333333333,0
DHDH,8,0.5,0
AKR1C2,29,0.47783251231527096,1
EPHX1,40,0.591025641025641,0
UGT2A2,41,0.2817073170731707,0
UGT2B10,44,0.24947145877378435,0
UGT2B11,43,0.27906976744186046,0
UGT2B28,46,0.2763285024154589,0
CYP2A13,52,0.4457013574660634,0
CYP2A6,84,0.2991967871485944,1
CYP2D6,48,0.3067375886524823,1
SLC7A13,1,0.0,0
SLC7A3,1,0.0,1
NTPCR,41,0.37926829268292683,0
SLC19A2,2,1.0,0
SLC19A3,3,0.6666666666666666,0
THTPA,2,1.0,0
ALPG,10,0.28888888888888886,1
ALPI,6,0.4,0
ALPP,8,0.21428571428571427,1
SLC25A19,6,0.3333333333333333,0
ALPL,24,0.10144927536231885,1
COX6A1,67,0.7548620533695161,0
COX7B,81,0.8274691358024692,1
COX4I1,109,0.5825688073394495,1
COX6B1,96,0.6677631578947368,1
COX6C,86,0.7129958960328318,1
C15orf48,3,1.0,0
COX7A2,67,0.7033016734509272,0
ADH1A,53,0.2946298984034833,1
ADH6,60,0.26384180790960454,0
ADH1C,55,0.27070707070707073,1
ADH1B,56,0.2577922077922078,1
ACYP1,9,0.8055555555555556,0
ACYP2,10,0.6444444444444445,1
ASMT,17,0.16911764705882354,0
BBOX1,50,0.03836734693877551,1
ACSF3,14,0.21978021978021978,0
AKR1A1,21,0.07142857142857142,1
ADH7,54,0.23270440251572327,1
ADH4,48,0.21897163120567376,1
SERPINA6,6,0.26666666666666666,1
SHBG,20,0.24736842105263157,1
ADRB1,28,0.17195767195767195,1
ADRB3,18,0.3333333333333333,1
MAGI2,4,0.16666666666666666,0
GOPC,9,0.16666666666666666,0
CAMK2D,18,0.37254901960784315,1
RBP1,12,0.30303030303030304,1
CRABP1,8,0.35714285714285715,1
MGMT,22,0.2813852813852814,1
DAPK1,25,0.21666666666666667,1
RASSF1,22,0.18181818181818182,0
HOXD4,1,0.0,0
RERE,1,0.0,0
GCH1,57,0.21177944862155387,1
HTR1D,21,0.4095238095238095,1
CHDH,19,0.5555555555555556,0
PDE4B,35,0.2907563025210084,1
PDE4D,36,0.2698412698412698,1
RAPGEF3,30,0.46436781609195404,0
PDE4C-2,23,0.35177865612648224,0
PDE4C,4,0.6666666666666666,1
PDE4A,40,0.2846153846153846,1
RAPGEF4,31,0.3956989247311828,0
PDE7A,22,0.41125541125541126,1
AADAT,18,0.2222222222222222,1
TSFM,67,0.6037991858887382,0
CLPP,38,0.19203413940256045,1
ERAL1,8,0.42857142857142855,0
RRAGB,22,0.5411255411255411,0
RRAGC,22,0.5367965367965368,0
RRAGD,19,0.6666666666666666,0
SLC38A9,12,0.48484848484848486,0
EIF2AK4,32,0.1592741935483871,1
LIMD1,8,0.39285714285714285,0
RPS14,165,0.41034737620103473,0
ADAT1,2,1.0,0
RPSA,134,0.5195825384356414,1
EEF1G,76,0.7129824561403508,0
MRPL58,44,0.9228329809725159,0
MRPL21,102,0.5703746845272762,0
TUFM,129,0.3485949612403101,1
MITF,17,0.2647058823529412,0
HSCB,22,0.41125541125541126,0
NUBPL,10,0.9555555555555556,0
ABCB7,21,0.41904761904761906,0
ISCA2,18,0.738562091503268,0
FXN,50,0.17877551020408164,1
ISCA1,23,0.5731225296442688,0
LYRM4,30,0.4413793103448276,0
NFS1,41,0.2621951219512195,1
GLRX5,24,0.4384057971014493,0
ISCU,36,0.33650793650793653,0
HSPA9,111,0.13202293202293203,0
MOCS3,9,0.5277777777777778,0
CTU1,9,0.25,0
URM1,5,0.9,0
CIAO3,9,0.6666666666666666,0
CIAPIN1,9,0.6388888888888888,0
NUBP1,8,0.7142857142857143,0
CIAO1,11,0.34545454545454546,0
GLRX3,19,0.4619883040935672,0
MOCOS,15,0.24761904761904763,1
TSTD1,11,0.2727272727272727,0
TSTD3,8,0.25,0
BOLA3,17,0.75,0
BOLA2B,10,0.8666666666666667,0
BOLA1,16,0.7833333333333333,0
BOLA2,10,0.8666666666666667,0
SLC25A26,1,0.0,0
TRMU,1,0.0,0
ERCC1,80,0.4170886075949367,0
DNA2,64,0.4861111111111111,0
DDB1,63,0.2980030721966206,0
RPA1,103,0.33942509042451935,0
XRCC4,49,0.5680272108843537,0
RAD52,66,0.4643356643356643,0
MSH6,86,0.37975376196990424,0
ERCC3,85,0.32605042016806723,0
ERCC2,64,0.40228174603174605,0
RAD23B,39,0.7058029689608637,0
XPA,56,0.45064935064935063,0
RFC2,50,0.5853061224489796,0
POLD3,40,0.5564102564102564,0
CDC45,132,0.3062687948184131,0
POLD2,41,0.55,0
MCM6,72,0.4209702660406886,0
MCM4,90,0.3318352059925094,0
POLE2,63,0.46953405017921146,1
MCM3,92,0.3416149068322981,0
POLA1,71,0.4012072434607646,1
CHEK1,117,0.2928087238432066,1
MCM5,77,0.38448393711551604,0
MCM7,76,0.383859649122807,0
HUS1,38,0.6557610241820768,0
RAD9A,49,0.5348639455782312,0
RFC5,39,0.7017543859649122,0
RFC1,31,0.6430107526881721,0
RFC4,70,0.46128364389233956,0
RFC3,59,0.5160724722384571,0
CHTF18,29,0.7980295566502463,0
MCM2,68,0.43459174714661986,0
POLD4,11,0.8727272727272727,1
POLL,12,0.7575757575757576,0
EHMT2,66,0.4428904428904429,0
UHRF1,38,0.6002844950213371,0
PKP2,22,0.3593073593073593,0
RANGRF,11,0.41818181818181815,0
HCN4,16,0.4083333333333333,0
DLG1,40,0.2064102564102564,0
GJA5,10,0.4,0
ANK1,52,0.21040723981900453,0
ANK2,53,0.22714078374455732,0
SCN7A,12,0.5,1
FGF12,3,1.0,0
DPP6,10,0.4222222222222222,0
SLC23A1,9,0.4166666666666667,1
GOLT1B,5,0.8,0
GOLT1A,5,0.8,0
MATR3-2,52,0.5799396681749623,0
MATR3,36,0.6,0
BMP15,9,0.4722222222222222,0
GDF9,9,0.5,0
INSL3,8,0.8571428571428571,0
AMHR2,19,0.47368421052631576,0
EREG,25,0.48,0
BTC,15,0.780952380952381,0
AREG,27,0.4045584045584046,0
GPHA2,6,0.8,0
TSHR,31,0.23010752688172043,1
CGA,18,0.42483660130718953,0
ESR1,192,0.14228839441535776,1
GPHB5,5,0.7,0
DENND1A,1,0.0,0
HSF2,1,0.0,0
CGB8,7,1.0,0
CGB3,7,1.0,0
LHB,2,1.0,0
CGB5,11,0.509090909090909,0
SPI1,39,0.21592442645074225,0
TET2,27,0.38461538461538464,0
DNMT3A,73,0.310882800608828,1
CDKN1B,99,0.23623995052566482,0
SLA,2,1.0,0
SLAMF1,30,0.31724137931034485,0
ASXL1,44,0.5021141649048626,0
PTPRJ,11,0.3090909090909091,0
NPM1,98,0.12223858615611193,1
MRPS36,5,1.0,0
ABCG1,20,0.3526315789473684,0
SAA1,38,0.3940256045519203,0
ICAM1,125,0.2367741935483871,1
CAV1,106,0.17681940700808627,0
TLR2,134,0.19964089327797105,1
OLR1,5,0.4,0
SLC27A1,15,0.4666666666666667,0
MSR1,6,0.3333333333333333,0
ACSL1,46,0.21835748792270532,1
CD47,27,0.2621082621082621,0
SCARF1,2,1.0,0
TLR6,20,0.5526315789473685,0
GYPA,32,0.2560483870967742,0
OCLN,40,0.26153846153846155,0
CLDN7,13,0.3717948717948718,0
CLDN1,4,0.5,0
PDZK1,17,0.23529411764705882,0
CD81,34,0.22638146167557932,0
NAXE,4,0.5,0
YJEFN3,1,0.0,0
DCK,59,0.3325540619520748,1
ADK,55,0.31717171717171716,1
TYMP,48,0.22783687943262412,1
MTAP,25,0.09333333333333334,1
PDE1C,42,0.3321718931475029,1
PDE7B,21,0.37142857142857144,1
AK6,25,0.47333333333333333,0
PDGFRA,98,0.2461603197980223,1
PDGFRB,107,0.23858226062422852,1
EGFR,419,0.07332336047321601,1
SOS2,30,0.5609195402298851,0
PLCG1,141,0.18074974670719351,0
NCK1,68,0.2392449517120281,0
SOS1,75,0.32756756756756755,0
PTEN,174,0.15228224038269883,0
RASA1,34,0.33868092691622104,0
PVALB,39,0.22267206477732793,1
NOVA2,2,0.0,0
PCDH10,7,1.0,0
SPTAN1,37,0.2222222222222222,0
SLC25A22,12,0.6212121212121212,0
CDKL5,14,0.4835164835164835,0
KCNQ2,45,0.22121212121212122,1
STXBP1,40,0.2717948717948718,0
CLCN2,9,0.5833333333333334,1
GABRD,25,0.32666666666666666,1
CACNB4,53,0.46153846153846156,1
GABRG2,29,0.31773399014778325,1
SCN11A,15,0.2571428571428571,1
SCN3A,15,0.5523809523809524,1
KCNQ3,30,0.3103448275862069,1
NFASC,14,0.6703296703296703,0
PRRT2,7,0.42857142857142855,0
KCNA1,27,0.18518518518518517,1
KCNT1,6,0.6,0
ARX,7,0.9047619047619048,0
ATP1A2,30,0.4459770114942529,1
PCDH19,12,0.5303030303030303,1
USH1C,15,0.6857142857142857,0
ABCC8,22,0.21645021645021645,1
KCNJ11,37,0.11861861861861862,1
HNF1A,29,0.19704433497536947,0
NEUROD1,18,0.477124183006536,0
SLC2A2,31,0.2021505376344086,1
WFS1,8,0.25,0
ABCC9,11,0.3090909090909091,1
KCNJ8,12,0.22727272727272727,1
PAX4,10,0.6,0
SLC30A8,15,0.3904761904761905,0
ENSA,8,0.6071428571428571,0
ABCA2,17,0.8897058823529411,0
ABCG5,34,0.3404634581105169,0
GABBR1,41,0.22926829268292684,1
RAMP3,17,0.7573529411764706,1
GABBR2,52,0.1870286576168929,1
GRM1,46,0.17294685990338166,1
RAMP1,22,0.5064935064935064,1
RAMP2,19,0.6374269005847953,1
CALCR,23,0.47035573122529645,1
CALCRL,19,0.5964912280701754,1
CASR,29,0.1724137931034483,1
GABRA6,19,0.4678362573099415,1
GABRG3,19,0.5380116959064327,1
GABRG1,22,0.6103896103896104,1
GABRA3,17,0.625,1
GABRA4,17,0.49264705882352944,1
GABRA5,24,0.4311594202898551,1
GABRB1,22,0.6233766233766234,1
GABRA2,18,0.48366013071895425,1
GABRB3,31,0.3548387096774194,1
GPR156,2,1.0,0
KCNJ9,27,0.6125356125356125,1
KCNJ3,28,0.5529100529100529,1
KCNJ6,29,0.42857142857142855,1
MPDZ,4,0.0,0
LGI1,15,0.2571428571428571,0
ATF5,16,0.15833333333333333,1
GPKOW,2,0.0,0
SLC38A2,7,0.38095238095238093,1
SLC38A1,6,0.4,1
SLC38A4,2,0.0,1
SLC38A5,3,0.3333333333333333,0
SLC38A3,4,0.16666666666666666,1
PTPN6,72,0.2312206572769953,1
DNTT,18,0.5555555555555556,0
SPN,36,0.42857142857142855,0
TNFRSF8,42,0.34843205574912894,1
MME,55,0.2080808080808081,1
BCL2,216,0.12622739018087856,1
CD7,34,0.5169340463458111,0
CXCR5,83,0.4687040846312078,0
ITGAX,115,0.26819221967963386,1
CD40LG,99,0.2989074417645846,0
CD5,66,0.36083916083916084,0
CD37,7,0.5714285714285714,0
SIAE,1,0.0,0
BLNK,33,0.4810606060606061,0
SIGLEC15,1,0.0,0
NOX5,15,0.638095238095238,0
GPR42,2,1.0,0
GALR1,10,0.5111111111111111,0
FFAR2,16,0.325,0
GALR2,7,0.3333333333333333,0
FFAR1,16,0.2833333333333333,1
FFAR3,9,0.5,0
CD72,10,0.6222222222222222,0
CD200R1,1,0.0,0
GABRR1,8,0.6785714285714286,1
GABRR2,11,0.6363636363636364,0
GABRE,16,0.44166666666666665,1
GABRR3,2,1.0,0
POLQ,19,0.47368421052631576,1
RPA2,82,0.3905450165612767,0
RBBP8,67,0.4283129805517865,0
RNF146,7,0.5714285714285714,0
NBN,52,0.6040723981900452,0
RAD50,37,0.6981981981981982,0
PRKDC,87,0.3172948409516172,1
TP53BP1,108,0.2971616476289374,0
MRE11,69,0.514919011082694,0
KIF23,63,0.72452636968766,0
RACGAP1,54,0.6575821104122991,0
TOP1,52,0.22699849170437406,1
CHFR,5,1.0,0
POLR2A,82,0.30472749171936164,0
SPG11,1,0.0,0
SLC12A6,4,0.0,1
OXSR1,22,0.1471861471861472,1
LGALS9C,13,0.717948717948718,0
FOS,141,0.16494427558257346,1
DDX5,81,0.27314814814814814,1
HDAC1,229,0.1244158431012028,1
DDX17,22,0.4588744588744589,0
CCND1,141,0.1961499493414387,1
FOXA1,33,0.29734848484848486,0
PGR,66,0.21305361305361306,1
GATA3,52,0.3378582202111614,0
TFF1,11,0.36363636363636365,1
GREB1,6,0.8,0
CARM1,33,0.5170454545454546,0
ATAD2,2,1.0,0
EBAG9,3,0.3333333333333333,0
PHB2,45,0.14646464646464646,1
FKBP4,29,0.4014778325123153,0
FKBP5,33,0.2878787878787879,0
FOXO1,116,0.19985007496251875,0
MDM2,139,0.1410697528933375,1
KDM1A,101,0.25782178217821783,0
PIAS1,8,0.6785714285714286,0
RCHY1,6,0.4,0
EZH2,132,0.2423085820032385,1
USP14,50,0.8122448979591836,0
BRD4,73,0.18987823439878235,1
MAGEA11,4,0.5,0
SPOP,45,0.5565656565656566,0
KLK3,27,0.150997150997151,1
HSP90B1,82,0.17675398976211984,1
KLK2,15,0.20952380952380953,0
NKX3-1,9,0.3888888888888889,0
RNF14,3,0.6666666666666666,0
TGFB1I1,12,0.3181818181818182,0
ERG,4,0.3333333333333333,0
BUD31,51,0.7898039215686274,0
PAK6,23,0.22529644268774704,1
TMPRSS2,22,0.15584415584415584,1
BSG,28,0.10582010582010581,0
SLC2A1,35,0.16974789915966387,1
SLC16A4,6,0.4,1
CBLL1,2,0.0,0
CA9,14,0.27472527472527475,1
TMEM97,3,0.3333333333333333,0
TMBIM4,5,0.3,0
VDAC1,115,0.13729977116704806,1
VAPB,40,0.08333333333333333,0
OPRM1,46,0.2106280193236715,1
HSPA5,125,0.11948387096774193,1
GPC1,41,0.2304878048780488,0
HSPG2,74,0.17919289152165865,1
LAMB1,37,0.5720720720720721,0
LAMA1,33,0.5549242424242424,0
LAMC1,46,0.5053140096618357,0
COL15A1,14,0.6263736263736264,0
ADAMTS8,1,0.0,0
NCL,63,0.18791602662570406,0
COL8A2,7,0.23809523809523808,0
CERT1,9,0.25,0
GPC4,8,0.21428571428571427,0
DR1,34,0.8859180035650623,0
PMPCB,63,0.5878136200716846,0
AASDHPPT,6,0.5333333333333333,0
GCDH,29,0.24630541871921183,1
BDH2,6,1.0,0
DHPS,3,0.3333333333333333,0
TCN2,13,0.2948717948717949,0
CBR1,37,0.33633633633633636,1
GGH,7,0.6666666666666666,0
CMPK2,46,0.43285024154589374,0
TK2,33,0.4034090909090909,1
IMPACT,5,1.0,0
TK1,60,0.33559322033898303,1
DTYMK,40,0.4423076923076923,0
UPRT,38,0.45803698435277385,0
SLC19A1,10,0.5111111111111111,1
E2F1,94,0.27979867307252343,0
HSPD1,67,0.17005879692446857,1
TMEM116,8,0.35714285714285715,0
GPR143,15,0.2571428571428571,0
H7C0S8_HUMAN,4,1.0,0
PGM3,14,0.1978021978021978,0
ERBB3,94,0.2331274307938687,1
MET,107,0.22006700758243697,1
FGF23,52,0.28205128205128205,1
GREM1,11,0.5454545454545454,0
